Name,Market Cap (GBP$ Billion)
JPMorgan Chase,286.32
Industrial and Commercial Bank of China,252.83
Bank of America,238.27
Wells Fargo,225.59
China Construction Bank,188.52
HSBC Holdings PLC,160.59
Agricultural Bank of China,148.86
Citigroup Inc.,148.8
Bank of China,132.91
China Merchants Bank,89.8
Royal Bank of Canada,89.77
Banco Santander,84.74
Commonwealth Bank,82.19
Mitsubishi UFJ Financial Group,81.78
Toronto-Dominion Bank,79.43
BNP Paribas,75.63
Goldman Sachs,73.76
Sberbank of Russia,73.12
Morgan Stanley,72.98
U.S. Bancorp,69.25
HDFC Bank,64.77
Itaú Unibanco,63.13
Westpac,61.93
Scotiabank,57.82
ING Group,57.8
UBS,55.28
Charles Schwab,54.38
PNC Financial Services,52.91
Lloyds Banking Group,52.19
Sumitomo Mitsui Financial Group,49.31
Bank of Communications,49.13
Australia and New Zealand Banking Group,48.67
Banco Bradesco,47.47
National Australia Bank,46.72
Intesa Sanpaolo,45.43
Banco Bilbao Vizcaya Argentaria,44.44
Japan Post Bank,44.33
The Bank of New York Mellon,43.81
Shanghai Pudong Development Bank,43.06
Industrial Bank (China),42.03
Bank of China (Hong Kong),40.61
Bank of Montreal,38.95
Crédit Agricole,38.19
DBS Bank,37.7
Nordea,37.49
Capital One,37.43
NatWest Group,36.98
Mizuho Financial Group,36.63
Credit Suisse,35.49
Postal Savings Bank of China,35.12
China Minsheng Bank,35.1
UniCredit,34.99
China CITIC Bank,34.75
Hang Seng Bank,33.82
Société Générale,33.73
Barclays,33.58
Canadian Imperial Bank of Commerce,31.89
Bank Central Asia,31.75
Truist Financial,30.7
Oversea-Chinese Banking Corp,30.29
State Bank of India,29.71
State Street,29.13
Deutsche Bank,28.31
KBC Bank,28.12
Danske Bank,27.99
Ping An Bank,27.83
Standard Chartered,27.33
United Overseas Bank,25.73
QNB Group,24.58
Bank Rakyat,24.23
