,rates
AED,3.7703
AFN,92.666195
ALL,117.694163
AMD,425.823852
ANG,1.84915
AOA,441.731979
ARS,132.81597
AUD,1.48683
AWG,1.845094
AZN,1.741844
BAM,1.969622
BBD,2.071636
BDT,96.91284
BGN,1.959854
BHD,0.386918
BIF,2113.093899
BMD,1.026478
BND,1.430215
BOB,7.05416
BRL,5.584141
BSD,1.02605
BTC,4.5118209e-05
BTN,82.015017
BWP,13.104566
BYN,2.59044
BYR,20118.9688
BZD,2.068212
CAD,1.323536
CDF,2055.523191
CHF,0.993256
CLF,0.034278
CLP,945.848363
CNY,6.941767
COP,4470.681222
CRC,693.089788
CUC,1.026478
CUP,27.201667
CVE,111.042585
CZK,24.534892
DJF,182.669156
DKK,7.444665
DOP,55.753431
DZD,149.57863
EGP,19.436564
ERN,15.39717
ETB,53.969929
EUR,1.0
FJD,2.260509
FKP,0.86464
GBP,0.85677
GEL,3.017696
GGP,0.86464
GHS,8.357424
GIP,0.86464
GMD,55.522093
GNF,8900.72811
GTQ,7.938867
GYD,214.669056
HKD,8.0568
HNL,25.233347
HRK,7.5245
HTG,119.923348
HUF,399.346132
IDR,15427.091834
ILS,3.534107
IMP,0.86464
INR,81.913714
IQD,1497.527386
IRR,43471.343034
ISK,139.734558
JEP,0.86464
JMD,156.179093
JOD,0.727792
JPY,142.079977
KES,121.68883
KGS,81.789463
KHR,4196.543565
KMF,476.927329
KPW,923.830191
KRW,1343.475486
KWD,0.315571
KYD,0.855063
KZT,494.825055
LAK,15435.085507
LBP,1551.43382
LKR,372.452632
LRD,156.534125
LSL,16.259998
LTL,3.030923
LVL,0.620906
LYD,5.005955
MAD,10.450883
MDL,19.80841
MGA,4318.087779
MKD,61.541967
MMK,1899.713028
MNT,3227.924299
MOP,8.295691
MRO,366.452469
MUR,45.881756
MVR,15.756681
MWK,1053.882636
MXN,21.04903
MYR,4.575013
MZN,65.520115
NAD,16.259151
NGN,426.382293
NIO,36.788359
NOK,10.154593
NPR,131.219401
NZD,1.649134
OMR,0.394625
PAB,1.02605
PEN,3.992581
PGK,3.661943
PHP,57.857406
PKR,232.654551
PLN,4.756442
PYG,7028.742764
QAR,3.737433
RON,4.940467
RSD,117.511124
RUB,58.607406
RWF,1051.825498
SAR,3.857154
SBD,8.376028
SCR,13.423436
SDG,468.582172
SEK,10.431244
SGD,1.427569
SHP,1.413869
SLL,13518.715384
SOS,599.972918
SRD,23.330309
STD,21246.022149
SVC,8.97756
SYP,2579.056187
SZL,17.594263
THB,37.783115
TJS,10.465989
TMT,3.602938
TND,3.144613
TOP,2.4094
TRY,18.160862
TTD,6.970941
TWD,30.712737
TZS,2393.746834
UAH,30.403714
UGX,3924.783633
USD,1.026478
UYU,43.103527
UZS,11183.738226
VND,24034.98237
VUV,122.044154
WST,2.793016
XAF,660.582787
XAG,0.055157
XAU,0.000602
XCD,2.774108
XDR,0.779458
XOF,660.582787
XPF,116.145978
YER,256.875728
ZAR,17.563778
ZMK,9239.584473
ZMW,16.90441
ZWL,330.525497
